entity_type,entity_id,entity_slug,full_slug
artist,1263,breeder-lw-maandy-boutross-ssaru-mastar-vk,breeder-lw-maandy-boutross-ssaru-mastar-vk
artist,1264,unspoken-salaton-breeder-lw,unspoken-salaton-breeder-lw
artist,1265,unspoken-salaton-mbuzi-gang-diaso-rahmu,unspoken-salaton-mbuzi-gang-diaso-rahmu
artist,1266,unspoken-salaton-ybw-smith,unspoken-salaton-ybw-smith
artist,1267,fancy-fingers-frya,fancy-fingers-frya
artist,1268,olivetheboy-nature-fancy-fingers,olivetheboy-nature-fancy-fingers
artist,1269,fancy-fingers-lilmaina-harry-craze-ndovu-kuu-fathermoh-johnny-johnny,fancy-fingers-lilmaina-harry-craze-ndovu-kuu-fathermoh-johnny-johnny
artist,127,dtx,dtx
artist,1270,bien-fancy-fingers-nature,bien-fancy-fingers-nature
artist,1271,ochiko-fancy-fingers,ochiko-fancy-fingers
artist,1272,dwin-the-stoic-rhaffy-fancy-fingers,dwin-the-stoic-rhaffy-fancy-fingers
artist,1273,breeder-lw-fena-gitu,breeder-lw-fena-gitu
artist,1274,femi-one-king-kaka-mbithi,femi-one-king-kaka-mbithi
artist,1275,femi-one-nviiri,femi-one-nviiri
artist,1276,femi-one-njerae-brandy-maina,femi-one-njerae-brandy-maina
artist,1277,femi-one-domani-munga,femi-one-domani-munga
artist,1278,iyanii-femi-one-trio-mio,iyanii-femi-one-trio-mio
artist,1279,bigpin-katapilla,bigpin-katapilla
artist,128,dufla,dufla
artist,1280,katapilla-dranj,katapilla-dranj
artist,1281,shekina-karen-katapilla,shekina-karen-katapilla
artist,1282,palmer-1-katapilla,palmer-1-katapilla
artist,1283,just-ken-katapilla-scar-mkadinali,just-ken-katapilla-scar-mkadinali
artist,1284,tuku-kantu-v-be,tuku-kantu-v-be
artist,1285,v-be-gogo-ashley,v-be-gogo-ashley
artist,1286,v-be-ashley-music,v-be-ashley-music
artist,1287,v-be-nandy,v-be-nandy
artist,1288,v-be-vic-west,v-be-vic-west
artist,1289,sewersydaa-scar-sir-bwoy,sewersydaa-scar-sir-bwoy
artist,129,dwson,dwson
artist,1290,sewersydaa-mc-gijo,sewersydaa-mc-gijo
artist,1291,sewersydaa-sir-bwoy,sewersydaa-sir-bwoy
artist,1292,genes1s-soundkraft,genes1s-soundkraft
artist,1293,genes1s-ouma-wa-mafegi,genes1s-ouma-wa-mafegi
